Round,specbzip,specmcf,specsjeng,spechmmer,speclibm
1,418650.72474592645,477622.5223092732,441879.730496786,441879.730496786,456432.5353904293
2,1.2360682180237428e6,1.0221184905137958e6,1.2624977371994057e6,1.2624977371994057e6,1.2671529844771924e6
3,3.5752330491740424e6,3.362505210293784e6,3.602884930086588e6,3.602884930086588e6,3.6068025197179876e6
4,3.558753994255021e6,3.2383013101404686e6,3.579300719686636e6,3.579300719686636e6,3.5968601998054767e6
5,3.5576179685588186e6,3.236706108007243e6,3.5791968678662274e6,3.5791968678662274e6,3.59681078061909e6
6,3.576522997658423e6,3.3659896345359464e6,3.606871859681719e6,3.606871859681719e6,3.6098424917615848e6
7,7.196909717333547e6,6.98637635421107e6,7.227258579356843e6,7.227258579356843e6,7.230229211436708e6
8,1.0177532710085178e7,9.86066793190118e6,1.0206154865639122e7,1.0206154865639122e7,1.0220186829922616e7
9,1.018006273490869e7,9.862922478818923e6,1.0209006969368046e7,1.0209006969368046e7,1.0223031818485234e7
10,1.016290181939691e7,9.705474377671089e6,1.0169473297093272e7,1.0169473297093272e7,1.0222557021957045e7
11,403217.3411606768,463462.3212511137,420835.79785737925,420835.79785737925,438960.9771438958
12,3.578792902375061e6,3.122223639016562e6,3.586373138587609e6,3.586373138587609e6,3.6394446089160615e6
13,5.078316569462597e6,4.621533636620082e6,5.08598641859582e6,5.08598641859582e6,5.139057889240937e6
